session_id,run_id,app_id,condition,capture_source,window_seconds,scheduled_complete_windows,nonempty_windows,empty_windows,occupancy_fraction,discarded_tail_seconds,longest_quiet_seconds
chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,5,12,2,10,0.16666666666666666,0,30
chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,10,6,2,4,0.33333333333333331,0,30
chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,15,4,2,2,0.5,0,30
chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,30,2,1,1,0.5,0,30
chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,60,1,1,0,1,0,0
chrome_exploratory_run01_retry02_foreground,chrome_exploratory_run01_retry02,chrome,foreground,pcapdroid_vpn_boundary_auxiliary,5,24,23,1,0.95833333333333337,-2.8421709430404007e-14,5
chrome_exploratory_run01_retry02_foreground,chrome_exploratory_run01_retry02,chrome,foreground,pcapdroid_vpn_boundary_auxiliary,10,12,12,0,1,-2.8421709430404007e-14,0
chrome_exploratory_run01_retry02_foreground,chrome_exploratory_run01_retry02,chrome,foreground,pcapdroid_vpn_boundary_auxiliary,15,8,8,0,1,-2.8421709430404007e-14,0
chrome_exploratory_run01_retry02_foreground,chrome_exploratory_run01_retry02,chrome,foreground,pcapdroid_vpn_boundary_auxiliary,30,4,4,0,1,-2.8421709430404007e-14,0
chrome_exploratory_run01_retry02_foreground,chrome_exploratory_run01_retry02,chrome,foreground,pcapdroid_vpn_boundary_auxiliary,60,2,2,0,1,-2.8421709430404007e-14,0
chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,5,24,6,18,0.25,0,50
chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,10,12,6,6,0.5,0,40
chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,15,8,4,4,0.5,0,45
chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,30,4,3,1,0.75,0,30
chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,60,2,2,0,1,0,0
