condition,feature,mean,stddev,coefficient_of_variation,min,max
foreground,packet_count,616.727272727,689.845648085,1.118558686,10.000000000,2311.000000000
foreground,total_ip_bytes,1136134.818181818,1396257.909701486,1.228954423,527.000000000,3845066.000000000
foreground,packets_per_second,123.345454545,137.969129617,1.118558686,2.000000000,462.200000000
foreground,ip_bytes_per_second,227226.963636364,279251.581940297,1.228954423,105.400000000,769013.200000000
foreground,ip_size_mean,1461.637340111,1195.356875413,0.817820428,52.700000000,4152.339092873
foreground,ip_size_stddev,2205.970971585,1452.079180307,0.658249451,11.100000000,4513.216285926
foreground,ip_size_min,40.000000000,0.000000000,0.000000000,40.000000000,40.000000000
foreground,ip_size_max,8019.818181818,3376.250548113,0.420988415,79.000000000,10000.000000000
foreground,ip_size_median,282.227272727,425.499198803,1.507647346,48.000000000,1488.000000000
foreground,ip_size_q1,42.090909091,6.007570981,0.142728468,40.000000000,60.000000000
foreground,ip_size_q3,2249.136363636,2786.457518884,1.238901102,57.000000000,10000.000000000
foreground,outbound_packet_fraction,0.458037676,0.061499018,0.134266287,0.368238858,0.555555556
foreground,inbound_packet_fraction,0.541962324,0.061499018,0.113474711,0.444444444,0.631761142
foreground,unknown_packet_fraction,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
foreground,outbound_byte_fraction,0.153103017,0.161739384,1.056408864,0.006792861,0.400379507
foreground,inbound_byte_fraction,0.846896983,0.161739384,0.190978817,0.599620493,0.993207139
foreground,unknown_byte_fraction,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
foreground,iat_mean,0.034690055,0.065957804,1.901346170,0.001983790,0.224622117
foreground,iat_stddev,0.117288701,0.143284640,1.221640611,0.012572019,0.511728176
foreground,iat_median,0.003411607,0.010338874,3.030499461,0.000150919,0.034580946
foreground,iat_min,0.000064525,0.000179665,2.784443015,0.000004053,0.000606060
foreground,iat_max,1.023035895,0.432820572,0.423074669,0.470304966,1.666043043
foreground,tcp_packet_fraction,0.723919198,0.214246726,0.295953922,0.400000000,0.991360691
foreground,udp_packet_fraction,0.276080802,0.214246726,0.776029061,0.008639309,0.600000000
foreground,other_transport_fraction,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
